level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	2	2	1	15	1925	899	67	36	91	the
5	1	2	2	1	16	2008	899	67	36	91	hot
4	1	2	2	2	0	462	951	1615	54	-1	
5	1	2	2	2	1	462	951	74	46	92	day
5	1	2	2	2	2	553	951	113	38	91	made
5	1	2	2	2	3	682	952	67	37	90	her
5	1	2	2	2	4	765	952	71	38	89	feel
5	1	2	2	2	5	853	965	89	34	91	very
5	1	2	2	2	6	959	953	125	47	90	sleepy
5	1	2	2	2	7	1101	954	76	38	90	and
5	1	2	2	2	8	1193	952	161	52	87	stupid),
5	1	2	2	2	9	1372	955	170	38	90	whether
5	1	2	2	2	10	1557	956	68	38	92	the
5	1	2	2	2	11	1641	957	173	46	87	pleasure
5	1	2	2	2	12	1830	957	42	38	92	of
5	1	2	2	2	13	1885	958	153	47	90	making
5	1	2	2	2	14	2054	971	23	25	92	a
4	1	2	2	3	0	462	1011	1611	54	-1	
5	1	2	2	3	1	462	1011	238	48	91	daisy-chain
5	1	2	2	3	2	715	1012	126	38	91	would
5	1	2	2	3	3	856	1012	49	39	91	be
5	1	2	2	3	4	920	1013	122	38	91	worth
5	1	2	2	3	5	1056	1014	67	38	89	the
5	1	2	2	3	6	1137	1014	150	39	90	trouble
5	1	2	2	3	7	1302	1014	42	39	92	of
5	1	2	2	3	8	1355	1017	148	46	88	getting
5	1	2	2	3	9	1518	1029	53	34	93	up
5	1	2	2	3	10	1587	1016	77	39	90	and
5	1	2	2	3	11	1679	1017	153	48	89	picking
5	1	2	2	3	12	1845	1018	67	38	92	the
5	1	2	2	3	13	1927	1018	146	47	85	daisies,
4	1	2	2	4	0	461	1072	1356	53	-1	
5	1	2	2	4	1	461	1072	111	37	92	when
5	1	2	2	4	2	589	1073	188	47	90	suddenly
5	1	2	2	4	3	795	1086	24	24	93	a
5	1	2	2	4	4	835	1074	131	37	90	White
5	1	2	2	4	5	984	1074	143	38	90	Rabbit
5	1	2	2	4	6	1145	1075	93	37	91	with
5	1	2	2	4	7	1255	1076	92	46	90	pink
5	1	2	2	4	8	1364	1088	86	35	91	eyes
5	1	2	2	4	9	1466	1089	71	25	94	ran
5	1	2	2	4	10	1554	1077	100	37	90	close
5	1	2	2	4	11	1671	1077	51	48	93	by
5	1	2	2	4	12	1740	1078	77	37	92	her.
3	1	2	3	0	0	455	1133	1620	590	-1	
4	1	2	3	1	0	534	1133	1541	50	-1	
5	1	2	3	1	1	534	1133	124	37	92	There
5	1	2	3	1	2	673	1146	77	24	90	was
5	1	2	3	1	3	766	1134	162	47	88	nothing
5	1	2	3	1	4	944	1147	42	25	91	so
5	1	2	3	1	5	1001	1135	137	38	87	VERY
5	1	2	3	1	6	1152	1136	232	38	87	remarkable
5	1	2	3	1	7	1400	1138	39	36	90	in
5	1	2	3	1	8	1453	1137	101	46	87	that;
5	1	2	3	1	9	1572	1150	70	25	92	nor
5	1	2	3	1	10	1658	1138	67	37	92	did
5	1	2	3	1	11	1740	1138	107	38	89	Alice
5	1	2	3	1	12	1861	1139	111	37	88	think
5	1	2	3	1	13	1987	1141	30	36	94	it
5	1	2	3	1	14	2033	1153	42	24	93	so
4	1	2	3	2	0	461	1192	1614	53	-1	
5	1	2	3	2	1	461	1192	137	39	83	VERY
5	1	2	3	2	2	617	1193	113	38	90	much
5	1	2	3	2	3	749	1198	69	33	88	out
5	1	2	3	2	4	838	1194	42	37	89	of
5	1	2	3	2	5	895	1194	68	38	92	the
5	1	2	3	2	6	981	1207	82	35	93	way
5	1	2	3	2	7	1081	1199	43	34	92	to
5	1	2	3	2	8	1143	1195	90	38	91	hear
5	1	2	3	2	9	1251	1196	67	38	91	the
5	1	2	3	2	10	1338	1197	143	38	88	Rabbit
5	1	2	3	2	11	1502	1210	67	35	91	say
5	1	2	3	2	12	1587	1202	43	34	90	to
5	1	2	3	2	13	1650	1198	112	47	87	itself,
5	1	2	3	2	14	1786	1198	76	39	86	‘Oh
5	1	2	3	2	15	1881	1199	100	38	91	dear!
5	1	2	3	2	16	2013	1199	62	39	93	Oh
4	1	2	3	3	0	460	1252	1614	51	-1	
5	1	2	3	3	1	460	1252	102	37	90	dear!
5	1	2	3	3	2	596	1253	15	36	94	I
5	1	2	3	3	3	631	1253	98	37	91	shall
5	1	2	3	3	4	748	1254	49	36	92	be
5	1	2	3	3	5	817	1254	103	37	86	late!’
5	1	2	3	3	6	955	1252	125	50	90	(when
5	1	2	3	3	7	1100	1256	65	36	92	she
5	1	2	3	3	8	1185	1256	163	46	91	thought
5	1	2	3	3	9	1368	1258	31	35	93	it
5	1	2	3	3	10	1419	1269	87	25	91	over
5	1	2	3	3	11	1526	1257	234	46	85	afterwards,
5	1	2	3	3	12	1783	1260	30	35	91	it
5	1	2	3	3	13	1834	1260	179	36	89	occurred
5	1	2	3	3	14	2032	1264	42	33	92	to
4	1	2	3	4	0	460	1311	1614	50	-1	
5	1	2	3	4	1	460	1311	66	37	89	her
5	1	2	3	4	2	546	1312	87	37	89	that
5	1	2	3	4	3	655	1312	67	37	90	she
5	1	2	3	4	4	742	1313	119	46	91	ought
5	1	2	3	4	5	881	1318	43	33	93	to
5	1	2	3	4	6	944	1314	94	37	91	have
5	1	2	3	4	7	1058	1315	200	37	91	wondered
5	1	2	3	4	8	1277	1320	40	33	91	at
5	1	2	3	4	9	1337	1316	90	45	91	this,
5	1	2	3	4	10	1449	1316	71	38	95	but
5	1	2	3	4	11	1542	1321	40	33	90	at
5	1	2	3	4	12	1603	1317	68	37	91	the
5	1	2	3	4	13	1690	1319	95	36	91	time
5	1	2	3	4	14	1805	1320	30	35	92	it
5	1	2	3	4	15	1856	1318	50	37	91	all
5	1	2	3	4	16	1925	1319	149	37	87	seemed
4	1	2	3	5	0	459	1369	1614	54	-1	
5	1	2	3	5	1	459	1373	106	45	89	quite
5	1	2	3	5	2	585	1369	185	52	90	natural);
5	1	2	3	5	3	793	1372	71	38	92	but
5	1	2	3	5	4	885	1373	111	38	90	when
5	1	2	3	5	5	1014	1374	67	38	89	the
5	1	2	3	5	6	1102	1374	142	38	88	Rabbit
5	1	2	3	5	7	1266	1375	167	48	89	actually
5	1	2	3	5	8	1452	1375	148	40	91	TOOK
5	1	2	3	5	9	1620	1376	36	38	89	A
5	1	2	3	5	10	1675	1376	183	40	88	WATCH
5	1	2	3	5	11	1880	1377	106	39	90	OUT
5	1	2	3	5	12	2006	1378	67	39	90	OF
4	1	2	3	6	0	459	1431	1613	53	-1	
5	1	2	3	6	1	459	1431	77	37	90	ITS
5	1	2	3	6	2	555	1431	317	38	88	WAISTCOAT—
5	1	2	3	6	3	893	1433	221	47	88	POCKET,
5	1	2	3	6	4	1135	1435	77	36	90	and
5	1	2	3	6	5	1230	1435	135	37	92	looked
5	1	2	3	6	6	1383	1440	41	33	91	at
5	1	2	3	6	7	1443	1438	43	44	88	it,
5	1	2	3	6	8	1508	1437	77	36	90	and
5	1	2	3	6	9	1603	1437	95	37	90	then
5	1	2	3	6	10	1717	1437	152	38	90	hurried
5	1	2	3	6	11	1887	1450	61	34	92	on,
5	1	2	3	6	12	1969	1438	103	38	88	Alice
4	1	2	3	7	0	459	1493	1613	45	-1	
5	1	2	3	7	1	459	1493	148	35	89	started
5	1	2	3	7	2	625	1497	43	32	91	to
5	1	2	3	7	3	687	1493	67	36	90	her
5	1	2	3	7	4	773	1493	88	45	87	feet,
5	1	2	3	7	5	882	1494	57	36	91	for
5	1	2	3	7	6	958	1496	30	34	90	it
5	1	2	3	7	7	1007	1494	146	37	91	ﬂashed
5	1	2	3	7	8	1171	1508	125	24	91	across
5	1	2	3	7	9	1315	1496	66	36	92	her
5	1	2	3	7	10	1400	1497	107	36	93	mind
5	1	2	3	7	11	1525	1497	88	36	92	that
5	1	2	3	7	12	1633	1498	67	36	93	she
5	1	2	3	7	13	1719	1498	78	36	94	had
5	1	2	3	7	14	1816	1511	111	24	91	never
5	1	2	3	7	15	1946	1499	126	37	91	before
4	1	2	3	8	0	459	1552	1614	53	-1	
5	1	2	3	8	1	459	1564	87	25	88	seen
5	1	2	3	8	2	562	1564	24	25	88	a
5	1	2	3	8	3	599	1552	129	38	88	rabbit
5	1	2	3	8	4	744	1553	95	38	91	with
5	1	2	3	8	5	853	1553	121	39	90	either
5	1	2	3	8	6	989	1566	24	26	92	a
5	1	2	3	8	7	1026	1555	363	47	87	waistcoat-pocket,
5	1	2	3	8	8	1407	1569	42	25	93	or
5	1	2	3	8	9	1464	1569	24	25	93	a
5	1	2	3	8	10	1500	1557	125	38	88	watch
5	1	2	3	8	11	1639	1561	43	34	91	to
5	1	2	3	8	12	1696	1557	90	39	90	take
5	1	2	3	8	13	1801	1563	68	33	93	out
5	1	2	3	8	14	1885	1558	41	39	92	of
5	1	2	3	8	15	1937	1560	41	45	85	it,
5	1	2	3	8	16	1996	1559	77	38	90	and
4	1	2	3	9	0	458	1612	1613	52	-1	
5	1	2	3	9	1	458	1612	165	46	90	burning
5	1	2	3	9	2	641	1613	94	36	86	with
5	1	2	3	9	3	754	1615	188	45	90	curiosity,
5	1	2	3	9	4	963	1614	67	37	91	she
5	1	2	3	9	5	1047	1627	70	24	91	ran
5	1	2	3	9	6	1135	1627	125	25	89	across
5	1	2	3	9	7	1278	1616	66	37	91	the
5	1	2	3	9	8	1362	1616	89	37	91	ﬁeld
5	1	2	3	9	9	1469	1616	98	38	90	after
5	1	2	3	9	10	1585	1619	43	43	89	it,
5	1	2	3	9	11	1649	1618	78	37	92	and
5	1	2	3	9	12	1746	1618	233	46	87	fortunately
5	1	2	3	9	13	1996	1632	75	24	93	was
4	1	2	3	10	0	455	1671	1440	52	-1	
5	1	2	3	10	1	455	1671	80	45	89	just
5	1	2	3	10	2	554	1672	40	34	89	in
5	1	2	3	10	3	610	1672	96	35	90	time
5	1	2	3	10	4	722	1675	43	32	90	to
5	1	2	3	10	5	783	1683	62	25	89	see
5	1	2	3	10	6	862	1673	30	35	92	it
5	1	2	3	10	7	911	1683	78	35	94	pop
5	1	2	3	10	8	1007	1672	111	37	91	down
5	1	2	3	10	9	1135	1684	24	26	92	a
5	1	2	3	10	10	1175	1673	101	47	90	large
5	1	2	3	10	11	1292	1674	232	38	90	rabbit-hole
5	1	2	3	10	12	1541	1675	122	37	92	under
5	1	2	3	10	13	1679	1676	68	37	93	the
5	1	2	3	10	14	1765	1676	130	47	91	hedge.
3	1	2	4	0	0	458	1730	1614	109	-1	
4	1	2	4	1	0	531	1730	1541	54	-1	
5	1	2	4	1	1	531	1730	43	36	93	In
5	1	2	4	1	2	591	1731	162	36	90	another
5	1	2	4	1	3	769	1736	171	32	88	moment
5	1	2	4	1	4	958	1732	110	37	91	down
5	1	2	4	1	5	1084	1738	97	32	90	went
5	1	2	4	1	6	1199	1733	105	38	88	Alice
5	1	2	4	1	7	1321	1734	96	37	85	after
5	1	2	4	1	8	1434	1736	42	44	93	it,
5	1	2	4	1	9	1495	1747	113	25	92	never
5	1	2	4	1	10	1625	1748	94	24	91	once
5	1	2	4	1	11	1736	1737	237	47	88	considering
5	1	2	4	1	12	1988	1737	84	37	92	how
4	1	2	4	2	0	458	1790	802	49	-1	
5	1	2	4	2	1	458	1791	39	34	93	in
5	1	2	4	2	2	514	1790	67	36	88	the
5	1	2	4	2	3	598	1791	117	36	90	world
5	1	2	4	2	4	733	1791	67	37	91	she
5	1	2	4	2	5	817	1804	77	24	91	was
5	1	2	4	2	6	911	1796	43	32	94	to
5	1	2	4	2	7	971	1797	62	41	88	get
5	1	2	4	2	8	1052	1797	68	32	84	out
5	1	2	4	2	9	1138	1795	122	44	90	again.
3	1	2	5	0	0	457	1850	1613	173	-1	
4	1	2	5	1	0	530	1850	1540	53	-1	
5	1	2	5	1	1	530	1850	82	37	91	The
5	1	2	5	1	2	634	1850	233	39	86	rabbit-hole
5	1	2	5	1	3	889	1856	98	33	92	went
5	1	2	5	1	4	1011	1853	160	47	89	straight
5	1	2	5	1	5	1194	1866	50	24	91	on
5	1	2	5	1	6	1265	1854	72	37	92	like
5	1	2	5	1	7	1359	1867	24	24	90	a
5	1	2	5	1	8	1403	1855	135	37	90	tunnel
5	1	2	5	1	9	1561	1855	57	37	90	for
5	1	2	5	1	10	1640	1868	105	25	88	some
5	1	2	5	1	11	1766	1869	89	34	91	way,
5	1	2	5	1	12	1880	1857	77	37	88	and
5	1	2	5	1	13	1978	1857	92	38	89	then
4	1	2	5	2	0	457	1910	1613	49	-1	
5	1	2	5	2	1	457	1910	143	46	87	dipped
5	1	2	5	2	2	621	1911	188	46	90	suddenly
5	1	2	5	2	3	829	1912	122	45	91	down,
5	1	2	5	2	4	975	1925	42	24	92	so
5	1	2	5	2	5	1037	1913	187	46	91	suddenly
5	1	2	5	2	6	1243	1914	87	37	91	that
5	1	2	5	2	7	1351	1913	106	39	89	Alice
5	1	2	5	2	8	1477	1915	78	37	91	had
5	1	2	5	2	9	1575	1920	68	32	94	not
5	1	2	5	2	10	1665	1928	25	25	93	a
5	1	2	5	2	11	1709	1921	169	32	91	moment
5	1	2	5	2	12	1898	1921	43	33	89	to
5	1	2	5	2	13	1960	1917	110	37	91	think
4	1	2	5	3	0	457	1969	1610	54	-1	
5	1	2	5	3	1	457	1969	119	38	90	about
5	1	2	5	3	2	593	1972	182	46	88	stopping
5	1	2	5	3	3	790	1970	140	39	88	herself
5	1	2	5	3	4	941	1971	129	39	89	before
5	1	2	5	3	5	1085	1972	66	38	91	she
5	1	2	5	3	6	1166	1972	119	39	90	found
5	1	2	5	3	7	1300	1973	139	38	92	herself
5	1	2	5	3	8	1450	1973	132	49	89	falling
5	1	2	5	3	9	1596	1975	112	38	92	down
5	1	2	5	3	10	1724	1988	24	25	95	a
5	1	2	5	3	11	1762	1988	90	35	90	very
5	1	2	5	3	12	1867	1976	94	47	89	deep
5	1	2	5	3	13	1976	1977	91	37	86	well.
3	1	2	6	0	0	453	2030	1617	589	-1	
4	1	2	6	1	0	530	2030	1540	54	-1	
5	1	2	6	1	1	530	2030	131	37	89	Either
5	1	2	6	1	2	679	2030	67	37	92	the
5	1	2	6	1	3	765	2031	82	37	92	well
5	1	2	6	1	4	865	2043	77	25	90	was
5	1	2	6	1	5	960	2044	90	34	89	very
5	1	2	6	1	6	1067	2032	107	47	90	deep,
5	1	2	6	1	7	1195	2045	42	25	90	or
5	1	2	6	1	8	1255	2033	66	37	90	she
5	1	2	6	1	9	1339	2033	63	38	89	fell
5	1	2	6	1	10	1419	2046	91	35	91	very
5	1	2	6	1	11	1528	2034	137	48	90	slowly,
5	1	2	6	1	12	1686	2034	58	38	90	for
5	1	2	6	1	13	1762	2035	66	38	91	she
5	1	2	6	1	14	1847	2036	77	37	93	had
5	1	2	6	1	15	1942	2036	128	48	91	plenty
4	1	2	6	2	0	456	2089	1614	54	-1	
5	1	2	6	2	1	456	2089	41	36	89	of
5	1	2	6	2	2	512	2091	94	35	91	time
5	1	2	6	2	3	625	2102	42	24	90	as
5	1	2	6	2	4	687	2090	66	37	93	she
5	1	2	6	2	5	772	2095	98	32	91	went
5	1	2	6	2	6	891	2091	111	37	90	down
5	1	2	6	2	7	1020	2096	43	32	94	to
5	1	2	6	2	8	1081	2092	88	37	92	look
5	1	2	6	2	9	1188	2093	119	37	89	about
5	1	2	6	2	10	1327	2093	66	37	92	her
5	1	2	6	2	11	1413	2094	77	37	88	and
5	1	2	6	2	12	1508	2099	43	32	92	to
5	1	2	6	2	13	1569	2095	154	36	90	wonder
5	1	2	6	2	14	1741	2096	104	36	90	what
5	1	2	6	2	15	1864	2108	76	25	88	was
5	1	2	6	2	16	1959	2098	111	45	89	going
4	1	2	6	3	0	455	2150	1614	46	-1	
5	1	2	6	3	1	455	2154	42	32	87	to
5	1	2	6	3	2	517	2150	155	45	90	happen
5	1	2	6	3	3	692	2155	103	32	83	next.
5	1	2	6	3	4	830	2152	111	44	88	First,
5	1	2	6	3	5	964	2152	66	36	93	she
5	1	2	6	3	6	1049	2153	100	36	88	tried
5	1	2	6	3	7	1167	2157	43	32	91	to
5	1	2	6	3	8	1229	2153	88	37	92	look
5	1	2	6	3	9	1337	2154	111	36	89	down
5	1	2	6	3	10	1468	2155	77	36	90	and
5	1	2	6	3	11	1565	2155	111	36	91	make
5	1	2	6	3	12	1696	2160	68	32	92	out
5	1	2	6	3	13	1785	2156	103	37	92	what
5	1	2	6	3	14	1909	2157	66	36	92	she
5	1	2	6	3	15	1994	2169	75	25	89	was
4	1	2	6	4	0	455	2210	1614	50	-1	
5	1	2	6	4	1	455	2211	151	45	90	coming
5	1	2	6	4	2	623	2214	54	41	94	to,
5	1	2	6	4	3	696	2210	72	37	91	but
5	1	2	6	4	4	787	2212	30	36	89	it
5	1	2	6	4	5	835	2223	77	25	92	was
5	1	2	6	4	6	929	2215	68	33	95	too
5	1	2	6	4	7	1014	2211	95	38	92	dark
5	1	2	6	4	8	1125	2216	43	33	92	to
5	1	2	6	4	9	1185	2225	61	25	91	see
5	1	2	6	4	10	1263	2213	196	47	90	anything;
5	1	2	6	4	11	1478	2214	95	37	89	then
5	1	2	6	4	12	1591	2214	67	38	91	she
5	1	2	6	4	13	1675	2214	137	38	91	looked
5	1	2	6	4	14	1829	2220	41	32	92	at
5	1	2	6	4	15	1888	2216	66	37	92	the
5	1	2	6	4	16	1971	2216	98	38	90	sides
4	1	2	6	5	0	454	2268	1614	53	-1	
5	1	2	6	5	1	454	2268	42	38	90	of
5	1	2	6	5	2	517	2269	67	37	92	the
5	1	2	6	5	3	609	2269	93	46	88	well,
5	1	2	6	5	4	733	2270	77	38	93	and
5	1	2	6	5	5	835	2271	153	37	90	noticed
5	1	2	6	5	6	1012	2271	87	38	87	that
5	1	2	6	5	7	1124	2271	93	48	88	they
5	1	2	6	5	8	1241	2285	95	25	88	were
5	1	2	6	5	9	1360	2272	103	39	91	ﬁlled
5	1	2	6	5	10	1487	2274	95	37	92	with
5	1	2	6	5	11	1607	2274	218	47	88	cupboards
5	1	2	6	5	12	1850	2275	77	38	91	and
5	1	2	6	5	13	1951	2276	117	37	93	book-
4	1	2	6	6	0	454	2329	1614	53	-1	
5	1	2	6	6	1	454	2329	157	46	88	shelves;
5	1	2	6	6	2	630	2329	88	38	90	here
5	1	2	6	6	3	734	2330	77	38	93	and
5	1	2	6	6	4	826	2330	108	38	92	there
5	1	2	6	6	5	949	2331	66	38	92	she
5	1	2	6	6	6	1031	2344	76	25	91	saw
5	1	2	6	6	7	1121	2344	109	35	91	maps
5	1	2	6	6	8	1246	2332	76	38	89	and
5	1	2	6	6	9	1337	2334	167	45	89	pictures
5	1	2	6	6	10	1519	2333	104	48	91	hung
5	1	2	6	6	11	1638	2347	107	34	93	upon
5	1	2	6	6	12	1760	2347	102	35	88	pegs.
5	1	2	6	6	13	1888	2335	73	39	92	She
5	1	2	6	6	14	1976	2336	92	38	91	took
4	1	2	6	7	0	454	2389	1613	51	-1	
5	1	2	6	7	1	454	2389	111	38	92	down
5	1	2	6	7	2	583	2402	24	25	89	a
5	1	2	6	7	3	620	2391	60	46	91	jar
5	1	2	6	7	4	698	2389	99	39	89	from
5	1	2	6	7	5	814	2403	72	26	90	one
5	1	2	6	7	6	904	2390	42	39	89	of
5	1	2	6	7	7	959	2391	67	38	91	the
5	1	2	6	7	8	1043	2391	144	39	90	shelves
5	1	2	6	7	9	1205	2405	42	26	91	as
5	1	2	6	7	10	1264	2392	66	39	91	she
5	1	2	6	7	11	1347	2393	149	47	89	passed;
5	1	2	6	7	12	1516	2395	30	37	90	it
5	1	2	6	7	13	1564	2407	78	25	90	was
5	1	2	6	7	14	1659	2394	164	39	90	labelled
5	1	2	6	7	15	1842	2394	225	41	86	‘ORANGE
4	1	2	6	8	0	454	2449	1612	53	-1	
5	1	2	6	8	1	454	2449	360	48	90	MARMALADE’,
5	1	2	6	8	2	832	2451	72	37	90	but
5	1	2	6	8	3	921	2455	42	34	90	to
5	1	2	6	8	4	979	2451	67	38	89	her
5	1	2	6	8	5	1061	2456	105	43	89	great
5	1	2	6	8	6	1184	2452	325	48	88	disappointment
5	1	2	6	8	7	1526	2455	31	37	92	it
5	1	2	6	8	8	1574	2466	77	26	90	was
5	1	2	6	8	9	1668	2459	142	43	90	empty:
5	1	2	6	8	10	1836	2455	65	38	90	she
5	1	2	6	8	11	1918	2456	66	38	94	did
5	1	2	6	8	12	1999	2460	67	34	91	not
4	1	2	6	9	0	453	2510	1614	53	-1	
5	1	2	6	9	1	453	2510	72	37	89	like
5	1	2	6	9	2	544	2515	43	32	90	to
5	1	2	6	9	3	607	2511	97	46	95	drop
5	1	2	6	9	4	723	2511	68	37	88	the
5	1	2	6	9	5	808	2513	60	45	84	jar
5	1	2	6	9	6	889	2511	57	38	89	for
5	1	2	6	9	7	966	2512	78	37	87	fear
5	1	2	6	9	8	1064	2512	41	38	90	of
5	1	2	6	9	9	1121	2513	130	47	90	killing
5	1	2	6	9	10	1270	2514	218	47	90	somebody,
5	1	2	6	9	11	1511	2527	43	25	92	so
5	1	2	6	9	12	1574	2515	190	48	92	managed
5	1	2	6	9	13	1782	2520	43	33	92	to
5	1	2	6	9	14	1845	2520	70	43	89	put
5	1	2	6	9	15	1936	2518	30	36	94	it
5	1	2	6	9	16	1987	2518	80	36	91	into
4	1	2	6	10	0	453	2571	834	48	-1	
5	1	2	6	10	1	453	2583	71	24	91	one
5	1	2	6	10	2	542	2571	41	36	88	of
5	1	2	6	10	3	597	2571	67	36	93	the
5	1	2	6	10	4	682	2572	218	45	91	cupboards
5	1	2	6	10	5	918	2585	42	24	91	as
5	1	2	6	10	6	978	2573	66	36	91	she
5	1	2	6	10	7	1061	2573	63	37	89	fell
5	1	2	6	10	8	1140	2578	87	41	87	past
5	1	2	6	10	9	1246	2575	41	35	91	it.
3	1	2	7	0	0	451	2630	1615	171	-1	
4	1	2	7	1	0	528	2630	1538	51	-1	
5	1	2	7	1	1	528	2630	130	38	85	‘Well!’
5	1	2	7	1	2	695	2631	166	47	90	thought
5	1	2	7	1	3	884	2631	105	38	92	Alice
5	1	2	7	1	4	1010	2636	43	33	92	to
5	1	2	7	1	5	1075	2632	145	47	90	herself,
5	1	2	7	1	6	1247	2633	109	38	90	‘after
5	1	2	7	1	7	1377	2634	93	37	92	such
5	1	2	7	1	8	1492	2647	24	25	93	a
5	1	2	7	1	9	1536	2634	66	38	88	fall
5	1	2	7	1	10	1624	2647	42	25	93	as
5	1	2	7	1	11	1687	2635	90	46	92	this,
5	1	2	7	1	12	1803	2636	15	37	95	I
5	1	2	7	1	13	1840	2636	96	37	92	shall
5	1	2	7	1	14	1956	2636	110	38	90	think
4	1	2	7	2	0	453	2690	1610	51	-1	
5	1	2	7	2	1	453	2690	161	47	88	nothing
5	1	2	7	2	2	635	2690	41	37	90	of
5	1	2	7	2	3	693	2691	191	47	92	tumbling
5	1	2	7	2	4	905	2692	111	37	90	down
5	1	2	7	2	5	1036	2692	123	37	88	stairs!
5	1	2	7	2	6	1195	2693	93	37	89	How
5	1	2	7	2	7	1307	2693	113	38	91	brave
5	1	2	7	2	8	1440	2694	135	47	91	they’ll
5	1	2	7	2	9	1595	2695	51	37	92	all
5	1	2	7	2	10	1666	2695	113	37	92	think
5	1	2	7	2	11	1799	2708	61	25	91	me
5	1	2	7	2	12	1880	2700	41	33	94	at
